id,key,value,type
419361232,cityracks.housenum,90,regular
419361232,cityracks.installed,8/9/2008,regular
419361249,amenity,bicycle_parking,regular
419361249,capacity,2,regular
419361249,cityracks.large,0,regular
419361249,cityracks.small,1,regular
419361249,cityracks.rackid,399,regular
419361249,cityracks.street,Bushwick Ave,regular
419361249,cityracks.housenum,98,regular
419361345,amenity,bicycle_parking,regular
419361345,capacity,2,regular
419361345,cityracks.large,0,regular
419361345,cityracks.small,1,regular
419361345,cityracks.rackid,1976,regular
419361345,cityracks.street,E 19th St,regular
419361345,cityracks.housenum,53,regular
419361345,cityracks.installed,4/5/2000,regular
419361812,amenity,bicycle_parking,regular
419361812,capacity,2,regular
419361812,cityracks.large,0,regular
419361812,cityracks.small,1,regular
419361812,cityracks.rackid,579,regular
419361812,cityracks.street,Montague Street,regular
419361812,cityracks.housenum,112,regular
419361812,cityracks.installed,8/9/2008,regular
419361828,amenity,bicycle_parking,regular
419361828,capacity,2,regular
419361828,cityracks.large,0,regular
419361828,cityracks.small,1,regular
419361828,cityracks.rackid,3661,regular
419361828,cityracks.street,Atlantic Ave,regular
419361828,cityracks.housenum,442,regular
419361910,amenity,bicycle_parking,regular
419361910,capacity,5,regular
419361910,cityracks.large,1,regular
419361910,cityracks.small,0,regular
419361910,cityracks.rackid,1484,regular
419361910,cityracks.street,W 23rd St,regular
419361910,cityracks.housenum,400,regular
419362065,amenity,bicycle_parking,regular
419362065,capacity,2,regular
419362065,cityracks.large,0,regular
419362065,cityracks.small,1,regular
419362065,cityracks.rackid,777,regular
419362065,cityracks.street,W 3rd St,regular
419362065,cityracks.housenum,134,regular
419362813,amenity,bicycle_parking,regular
419362813,capacity,2,regular
419362813,cityracks.large,0,regular
419362813,cityracks.small,1,regular
419362813,cityracks.rackid,1240,regular
419362813,cityracks.street,1st Ave,regular
419362813,cityracks.housenum,1308,regular
419362813,cityracks.installed,5/1/2000,regular
419363859,amenity,bicycle_parking,regular
419363859,capacity,2,regular
419363859,cityracks.large,0,regular
419363859,cityracks.small,1,regular
419363859,cityracks.rackid,2776,regular
419363859,cityracks.street,W 72nd St,regular
419363859,cityracks.housenum,216,regular
419363859,cityracks.installed,4/18/2005,regular
419365701,amenity,bicycle_parking,regular
419365701,capacity,2,regular
419365701,cityracks.large,0,regular
419365701,cityracks.small,1,regular
419365701,cityracks.rackid,4705,regular
419365701,cityracks.street,5 Ave,regular
419365701,cityracks.housenum,4001,regular
419365701,cityracks.installed,2/17/2009,regular
419366557,amenity,bicycle_parking,regular
419366557,capacity,2,regular
419366557,cityracks.large,0,regular
419366557,cityracks.small,1,regular
419366557,cityracks.rackid,4531,regular
419366557,cityracks.street,Bower Ct,regular
419366557,cityracks.housenum,27,regular
419366592,amenity,bicycle_parking,regular
419366592,capacity,2,regular
419366592,cityracks.large,0,regular
419366592,cityracks.small,1,regular
419366592,cityracks.rackid,1896,regular
